ID,Rating
125,5
209,5
274,3
342,4
632,2
679,3
838,4
897,4
915,5
1243,4
1562,5
1565,5
1644,4
1826,4
2168,2
2180,3
2286,4
2541,4
2665,2
2985,5
3169,4
3189,4
3471,5
3479,4
3579,5
3626,4
3852,4
3887,4
3987,3
4192,3
4222,5
4500,2
4595,4
4620,3
4637,5
4662,5
5028,4
5060,5
5251,3
5416,5
5496,5
5634,5
5645,5
5745,4
5816,3
5869,5
5897,5
5927,5
6068,4
6438,4
6451,3
6529,2
7159,4
7339,4
8231,4
8534,4
8816,3
9987,4
10094,2
10366,4
10385,3
10501,4
11070,4
11352,4
11815,2
12098,1
12251,4
12623,2
13187,5
13692,5
14107,3
15147,3
15168,2
15411,1
15461,1
15862,5
16419,3
17656,2
17850,5
19603,3
20021,4
21245,2
21246,3
22459,1
23596,3
24333,2
25211,3
25318,2
25934,4
28510,3
29526,5
30875,5
31729,4
31778,5
31809,3
31836,4
32917,3
33309,5
33471,3
34065,4
34180,5
34813,4
34931,4
35335,3
35494,5
35719,4
36039,4
36060,2
36449,4
36596,4
36715,4
38000,2
38009,2
39487,1
40787,3
40789,3
40991,4
41074,3
47423,4
54420,4
54484,4
54581,2
54746,2
54749,4
55551,4
55615,4
55747,3
55907,2
56366,3
56737,3
57058,4
57516,3
58355,2
58359,3
58745,3
59067,3
59216,4
59268,4
59698,2
59929,4
60020,4
60075,2
60347,5
60473,4
60858,5
61113,3
61181,3
61222,3
61244,4
61295,3
61984,4
62525,4
62734,3
62748,3
63108,4
63254,3
64132,3
64356,5
64481,3
64518,3
64723,4
64739,4
64791,4
65141,3
65222,4
65480,4
65535,3
65616,3
65676,4
65695,3
65709,3
66395,5
67123,3
68490,1
69788,2
70494,1
70693,4
71192,3
75553,1
76173,2
76224,4
78070,4
79569,3
82086,4
82385,3
85647,3
85679,4
85703,4
87415,2
89282,4
90273,2
90914,2
90945,5
90997,3
91509,3
91612,5
92810,5
92885,5
92960,3
92997,4
93536,4
94249,5
94347,5
94493,3
94519,3
95325,4
95763,4
96080,2
96351,4
97277,4
98109,3
98658,4
98890,5
99177,5
99618,5
99697,5
99864,5
100260,3
100405,1
100750,3
100764,4
100907,3
101003,3
101148,5
101202,4
101339,5
101574,4
101579,4
101674,5
101835,4
101965,4
102124,4
102310,4
102563,4
102600,5
105087,4
106041,3
109112,5
109598,1
110349,2
110461,2
111241,3
112581,4
112911,3
113230,1
116152,3
116291,3
118141,2
119913,3
120255,1
120733,4
120889,4
120991,4
121304,4
121355,5
121404,4
121561,4
121622,5
121650,3
122195,3
122737,4
122928,4
122997,4
123577,3
123908,4
124119,5
124443,4
124496,3
125269,5
125396,5
125461,4
125593,4
125859,3
126513,3
128128,4
130019,3
130072,4
132261,3
133252,2
133264,3
138923,5
139242,2
139444,2
139499,5
139604,3
139630,3
139745,4
140770,4
140821,4
141796,2
142240,5
142395,4
142526,3
142533,1
143467,3
143627,3
143657,4
145452,5
145514,4
145679,3
145804,4
146345,4
146427,4
146829,5
147210,4
147836,2
147862,3
148104,5
148285,4
148462,5
148593,3
148763,4
148916,3
149104,3
149432,3
